2020-12-07 09:51:20.219 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-12-07 09:51:20.220 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@36d33f4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@16736040, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7c5d1d25, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@550e9be6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3f96f020, org.springframework.test.context.transaction.TransactionalTestExecutionListener@32eae6f2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@26ca61bf, org.springframework.test.context.event.EventPublishingTestExecutionListener@73a0f2b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@fa5f81c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6a1d526c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1f2f0109, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@483b0690, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@687e6293, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6870c3c2]
2020-12-07 09:51:20.366 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-07 09:51:20.370 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-12-07 12:43:16.863 [main] INFO  com.linghang.skimlessons.SkimlessonsApplication - Starting SkimlessonsApplication using Java 1.8.0_251 on DESKTOP-CE12G9K with PID 16824 (D:\Microsoft Visual Studio\MyProjects\Homework\JAVA\Skimlessons\target\classes started by 田 in D:\Microsoft Visual Studio\MyProjects\Homework\JAVA\Skimlessons)
2020-12-07 12:43:16.888 [main] INFO  com.linghang.skimlessons.SkimlessonsApplication - The following profiles are active: dev
2020-12-07 12:43:18.031 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-12-07 12:43:18.039 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-12-07 12:43:18.039 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-07 12:43:18.039 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-07 12:43:18.040 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.24] using APR version [1.7.0].
2020-12-07 12:43:18.040 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-12-07 12:43:18.040 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-12-07 12:43:18.099 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2020-12-07 12:43:18.176 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-07 12:43:18.176 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1234 ms
2020-12-07 12:43:18.729 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-07 12:43:18.963 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-12-07 12:43:18.977 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-12-07 12:43:18.984 [main] INFO  com.linghang.skimlessons.SkimlessonsApplication - Started SkimlessonsApplication in 2.724 seconds (JVM running for 3.577)
2020-12-07 12:43:44.898 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-07 12:43:44.898 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-07 12:43:44.899 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2020-12-07 12:43:45.000 [http-nio-8080-exec-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-12-07 13:02:30.760 [main] INFO  com.linghang.skimlessons.SkimlessonsApplication - Starting SkimlessonsApplication using Java 1.8.0_251 on DESKTOP-CE12G9K with PID 7588 (D:\Microsoft Visual Studio\MyProjects\Homework\JAVA\Skimlessons\target\classes started by 田 in D:\Microsoft Visual Studio\MyProjects\Homework\JAVA\Skimlessons)
2020-12-07 13:02:30.763 [main] INFO  com.linghang.skimlessons.SkimlessonsApplication - The following profiles are active: dev
2020-12-07 13:02:31.711 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-12-07 13:02:31.718 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-12-07 13:02:31.718 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-07 13:02:31.719 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-07 13:02:31.720 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.24] using APR version [1.7.0].
2020-12-07 13:02:31.721 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-12-07 13:02:31.721 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-12-07 13:02:31.726 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2020-12-07 13:02:31.788 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-07 13:02:31.788 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 980 ms
2020-12-07 13:02:32.247 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-07 13:02:32.540 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
